"","game_id","player","obs_beta","null_mean","null_sd","p_value"
"222",401469138,"Lauri Markkanen",-1.09861228866811,-0.0561377216051574,14.7266509517168,0.633774160732452
"223",401469138,"Luka Doncic",NA,-5.23732990420529,15.0770877093984,NA
"224",401469290,"CJ McCollum",NA,-8.34556602543851,10.9450260001723,NA
"225",401469290,"Jordan Poole",-1.87944295467549e-09,-7.87086831310767,12.4058765824991,0.309462915601023
"226",401469290,"Klay Thompson",NA,-6162744720128.22,117739072559472,NA
"227",401469290,"Stephen Curry",-17.853750558811,-3.77857110873602,13.856126792959,0.619675456389452
"228",401469355,"Josh Giddey",NA,-5.45029563187419,14.8558712106855,NA
"229",401469355,"Shai Gilgeous-Alexander",-15.4674561337986,-9.52613057412232,13.889561125574,0.439024390243902
"230",401469365,"Luka Doncic",NA,-2.97588840207315,11.8031071904168,NA
"231",401469365,"Nikola Vucevic",-39.1321370233636,-10.7231204893458,23.9878854546361,0.746698679471789
"232",401584114,"Anthony Davis",-0.916290731874155,-3.06917011290898,17.301810106673,0.421245421245421
"233",401584114,"D'Angelo Russell",18.2592156706144,-5.7241770769083,17.7869836628701,0.0919661733615222
"234",401584114,"Jaren Jackson Jr.",NA,-14.3676784663581,6.42366090914235,NA
"235",401584114,"LeBron James",NA,-11.8416451974204,22.7143301167706,NA
"236",401584799,"Giannis Antetokounmpo",0.847297860387213,0.588288490699772,4.86706826333393,0.155
"237",401584799,"Tyrese Haliburton",19.8537505852659,-4.59299148638928,12.0993100312163,0.0193340494092374
"238",401584833,"Damian Lillard",NA,-10.6175256678061,13.2398931921163,NA
"239",401584833,"Giannis Antetokounmpo",4.18760683036672e-09,-0.266378060158773,3.49226300930684,0.369
"240",401584833,"Kyrie Irving",16.3133055170137,2.38130987645905,15.3286856842845,0.273461150353179
"241",401584833,"Luka Doncic",9.93406991708035e-10,-4.06990389031027,10.572514780838,0.423232323232323
