"","player","athlete_id_1","game_id","season_end","make","shot_dist","is_opportunity","dist_category","shot_number","lag1","lag2","lag3","prev3_sum"
"124","Andre Drummond",6585,401071463,"2019",0,5.09901951359278,1,"Close",10,1,1,1,3
"125","Andre Drummond",6585,401071463,"2019",1,2,0,"Close",11,0,1,1,2
"126","Andre Drummond",6585,401071463,"2019",1,2.23606797749979,0,"Close",12,1,0,1,2
"127","Andre Drummond",6585,401071463,"2019",1,3.60555127546399,0,"Close",13,1,1,0,2
"128","Andre Drummond",6585,401071463,"2019",1,5,1,"Close",14,1,1,1,3
"129","Andrew Wiggins",3059319,401071183,"2019",0,25,0,"ThreePoint",1,NA,NA,NA,NA
"130","Andrew Wiggins",3059319,401071183,"2019",0,8.06225774829855,0,"Midrange",2,0,NA,NA,NA
"131","Andrew Wiggins",3059319,401071183,"2019",0,2.23606797749979,0,"Close",3,0,0,NA,NA
"132","Andrew Wiggins",3059319,401071183,"2019",1,2.23606797749979,0,"Close",4,0,0,0,0
"133","Andrew Wiggins",3059319,401071183,"2019",0,25.298221281347,0,"ThreePoint",5,1,0,0,1
"134","Andrew Wiggins",3059319,401071183,"2019",0,23.0217288664427,0,"ThreePoint",6,0,1,0,1
"135","Andrew Wiggins",3059319,401071183,"2019",0,6.32455532033676,0,"Close",7,0,0,1,1
"136","Andrew Wiggins",3059319,401071183,"2019",0,4.47213595499958,0,"Close",8,0,0,0,0
"137","Andrew Wiggins",3059319,401071183,"2019",0,17.8044938147649,0,"Midrange",9,0,0,0,0
"138","Andrew Wiggins",3059319,401071183,"2019",0,29.4278779391243,0,"ThreePoint",10,0,0,0,0
"139","Andrew Wiggins",3059319,401071183,"2019",0,18.2482875908947,0,"Midrange",11,0,0,0,0
"140","Andrew Wiggins",3059319,401071183,"2019",1,1,0,"Close",12,0,0,0,0
"141","Andrew Wiggins",3059319,401071183,"2019",1,25.0798724079689,0,"ThreePoint",13,1,0,0,1
"142","Andrew Wiggins",3059319,401071183,"2019",1,26.5706605111728,0,"ThreePoint",14,1,1,0,2
"143","Andrew Wiggins",3059319,401071183,"2019",1,8.60232526704263,1,"Midrange",15,1,1,1,3
"144","Andrew Wiggins",3059319,401359993,"2022",1,20.1246117974981,0,"Midrange",1,NA,NA,NA,NA
"145","Andrew Wiggins",3059319,401359993,"2022",1,23,0,"ThreePoint",2,1,NA,NA,NA
"146","Andrew Wiggins",3059319,401359993,"2022",1,2.23606797749979,0,"Close",3,1,1,NA,NA
"147","Andrew Wiggins",3059319,401359993,"2022",1,4.47213595499958,1,"Close",4,1,1,1,3
"148","Andrew Wiggins",3059319,401359993,"2022",1,22.561028345357,1,"ThreePoint",5,1,1,1,3
"149","Andrew Wiggins",3059319,401359993,"2022",1,27.5862284482674,1,"ThreePoint",6,1,1,1,3
"150","Andrew Wiggins",3059319,401359993,"2022",1,3.60555127546399,1,"Close",7,1,1,1,3
"151","Andrew Wiggins",3059319,401359993,"2022",1,3.60555127546399,1,"Close",8,1,1,1,3
"152","Andrew Wiggins",3059319,401359993,"2022",1,3.60555127546399,1,"Close",9,1,1,1,3
"153","Andrew Wiggins",3059319,401359993,"2022",1,15.2315462117278,1,"Midrange",10,1,1,1,3
"154","Andrew Wiggins",3059319,401359993,"2022",0,22.0227155455452,1,"ThreePoint",11,1,1,1,3
"155","Andrew Wiggins",3059319,401359993,"2022",0,22,0,"Midrange",12,0,1,1,2
"156","Andrew Wiggins",3059319,401359993,"2022",0,26.4007575648882,0,"ThreePoint",13,0,0,1,1
"157","Andrew Wiggins",3059319,401359993,"2022",0,5.8309518948453,0,"Close",14,0,0,0,0
"158","Andrew Wiggins",3059319,401359993,"2022",1,14,0,"Midrange",15,0,0,0,0
"159","Andrew Wiggins",3059319,401359993,"2022",1,3,0,"Close",16,1,0,0,1
"160","Andrew Wiggins",3059319,401359993,"2022",1,28.4604989415154,0,"ThreePoint",17,1,1,0,2
"161","Andrew Wiggins",3059319,401359993,"2022",1,0,1,"Close",18,1,1,1,3
"162","Andrew Wiggins",3059319,401359993,"2022",0,25.4950975679639,1,"ThreePoint",19,1,1,1,3
"163","Andrew Wiggins",3059319,401360604,"2022",0,12.6491106406735,0,"Midrange",1,NA,NA,NA,NA
"164","Andrew Wiggins",3059319,401360604,"2022",0,26.1725046566048,0,"ThreePoint",2,0,NA,NA,NA
"165","Andrew Wiggins",3059319,401360604,"2022",0,4,0,"Close",3,0,0,NA,NA
"166","Andrew Wiggins",3059319,401360604,"2022",0,4.47213595499958,0,"Close",4,0,0,0,0
"167","Andrew Wiggins",3059319,401360604,"2022",1,17.6918060129541,0,"Midrange",5,0,0,0,0
"168","Andrew Wiggins",3059319,401360604,"2022",0,4.47213595499958,0,"Close",6,1,0,0,1
"169","Andrew Wiggins",3059319,401360604,"2022",0,8.54400374531753,0,"Midrange",7,0,1,0,1
"170","Andrew Wiggins",3059319,401360604,"2022",0,27.8028775489157,0,"ThreePoint",8,0,0,1,1
"171","Andrew Wiggins",3059319,401360604,"2022",1,23,0,"ThreePoint",9,0,0,0,0
"172","Andrew Wiggins",3059319,401360604,"2022",1,8,0,"Close",10,1,0,0,1
"173","Andrew Wiggins",3059319,401360604,"2022",1,26.2488094968134,0,"ThreePoint",11,1,1,0,2
"174","Andrew Wiggins",3059319,401360604,"2022",1,6,1,"Close",12,1,1,1,3
"175","Andrew Wiggins",3059319,401410564,"2022",0,23.0217288664427,0,"ThreePoint",1,NA,NA,NA,NA
"176","Andrew Wiggins",3059319,401410564,"2022",0,1.4142135623731,0,"Close",2,0,NA,NA,NA
"177","Andrew Wiggins",3059319,401410564,"2022",1,1,0,"Close",3,0,0,NA,NA
"178","Andrew Wiggins",3059319,401410564,"2022",1,1,0,"Close",4,1,0,0,1
