"","player","athlete_id_1","game_id","n_opportunities","n_opportunity_makes","season_end","total_shots","total_makes","opp_pct","other_attempts","other_makes","other_pct","diff"
"145","Andre Drummond",6585,400828821,2,1,2016,11,7,0.5,9,6,0.666666666666667,-0.166666666666667
"146","Andre Drummond",6585,400828841,3,1,2016,19,10,0.333333333333333,16,9,0.5625,-0.229166666666667
"147","Andre Drummond",6585,400828850,0,NA,2016,1,1,NA,1,NA,NA,NA
"148","Andre Drummond",6585,400828863,1,0,2016,12,8,0,11,8,0.727272727272727,-0.727272727272727
"149","Andre Drummond",6585,400828876,0,0,2016,9,3,NA,9,3,0.333333333333333,NA
"150","Andre Drummond",6585,400828894,0,0,2016,12,5,NA,12,5,0.416666666666667,NA
"151","Andre Drummond",6585,400828909,4,3,2016,9,7,0.75,5,4,0.8,-0.05
"152","Andre Drummond",6585,400828917,2,0,2016,14,8,0,12,8,0.666666666666667,-0.666666666666667
"153","Andre Drummond",6585,400828934,2,1,2016,16,7,0.5,14,6,0.428571428571429,0.0714285714285715
"154","Andre Drummond",6585,400828945,9,9,2016,20,14,1,11,5,0.454545454545455,0.545454545454545
"155","Andre Drummond",6585,400828961,2,0,2016,14,9,0,12,9,0.75,-0.75
"156","Andre Drummond",6585,400828972,2,2,2016,11,7,1,9,5,0.555555555555556,0.444444444444444
"157","Andre Drummond",6585,400828997,3,2,2016,9,6,0.666666666666667,6,4,0.666666666666667,0
"158","Andre Drummond",6585,400829016,0,0,2016,15,5,NA,15,5,0.333333333333333,NA
"159","Andre Drummond",6585,400829026,1,0,2016,10,5,0,9,5,0.555555555555556,-0.555555555555556
"160","Andre Drummond",6585,400829042,1,0,2016,9,5,0,8,5,0.625,-0.625
"161","Andre Drummond",6585,400829053,0,0,2016,14,5,NA,14,5,0.357142857142857,NA
"162","Andre Drummond",6585,400829069,0,0,2016,10,3,NA,10,3,0.3,NA
"163","Andre Drummond",6585,400829100,0,0,2016,11,4,NA,11,4,0.363636363636364,NA
"164","Andre Drummond",6585,400829482,3,1,2016,11,8,0.333333333333333,8,7,0.875,-0.541666666666667
"165","Andrew Wiggins",3059319,400827904,0,0,2016,9,1,NA,9,1,0.111111111111111,NA
"166","Andrew Wiggins",3059319,400827916,0,0,2016,12,4,NA,12,4,0.333333333333333,NA
"167","Andrew Wiggins",3059319,400827937,0,0,2016,14,3,NA,14,3,0.214285714285714,NA
"168","Andrew Wiggins",3059319,400827958,0,0,2016,18,5,NA,18,5,0.277777777777778,NA
"169","Andrew Wiggins",3059319,400827972,1,0,2016,27,11,0,26,11,0.423076923076923,-0.423076923076923
"170","Andrew Wiggins",3059319,400827988,6,4,2016,19,12,0.666666666666667,13,8,0.615384615384615,0.0512820512820512
"171","Andrew Wiggins",3059319,400828012,2,1,2016,17,7,0.5,15,6,0.4,0.1
"172","Andrew Wiggins",3059319,400828014,2,0,2016,18,9,0,16,9,0.5625,-0.5625
"173","Andrew Wiggins",3059319,400828033,2,1,2016,13,7,0.5,11,6,0.545454545454545,-0.0454545454545454
"174","Andrew Wiggins",3059319,400828048,0,0,2016,21,8,NA,21,8,0.380952380952381,NA
"175","Andrew Wiggins",3059319,400828053,1,0,2016,16,7,0,15,7,0.466666666666667,-0.466666666666667
"176","Andrew Wiggins",3059319,400828068,0,0,2016,16,6,NA,16,6,0.375,NA
"177","Andrew Wiggins",3059319,400828093,2,1,2016,21,10,0.5,19,9,0.473684210526316,0.0263157894736842
"178","Andrew Wiggins",3059319,400828109,0,0,2016,17,5,NA,17,5,0.294117647058824,NA
"179","Andrew Wiggins",3059319,400828124,1,0,2016,16,7,0,15,7,0.466666666666667,-0.466666666666667
"180","Andrew Wiggins",3059319,400828134,0,0,2016,15,7,NA,15,7,0.466666666666667,NA
"181","Andrew Wiggins",3059319,400828152,4,2,2016,15,9,0.5,11,7,0.636363636363636,-0.136363636363636
"182","Andrew Wiggins",3059319,400828181,1,0,2016,13,4,0,12,4,0.333333333333333,-0.333333333333333
"183","Andrew Wiggins",3059319,400828198,0,0,2016,15,3,NA,15,3,0.2,NA
"184","Andrew Wiggins",3059319,400828212,0,0,2016,15,6,NA,15,6,0.4,NA
"185","Andrew Wiggins",3059319,400828227,2,1,2016,17,8,0.5,15,7,0.466666666666667,0.0333333333333333
"186","Andrew Wiggins",3059319,400828240,0,0,2016,8,4,NA,8,4,0.5,NA
"187","Andrew Wiggins",3059319,400828255,1,0,2016,16,8,0,15,8,0.533333333333333,-0.533333333333333
"188","Andrew Wiggins",3059319,400828262,0,0,2016,22,8,NA,22,8,0.363636363636364,NA
"189","Andrew Wiggins",3059319,400828279,1,0,2016,20,11,0,19,11,0.578947368421053,-0.578947368421053
"190","Andrew Wiggins",3059319,400828290,0,0,2016,11,6,NA,11,6,0.545454545454545,NA
"191","Andrew Wiggins",3059319,400828298,1,1,2016,17,8,1,16,7,0.4375,0.5625
"192","Andrew Wiggins",3059319,400828318,0,0,2016,11,2,NA,11,2,0.181818181818182,NA
"193","Andrew Wiggins",3059319,400828335,2,1,2016,18,9,0.5,16,8,0.5,0
"194","Andrew Wiggins",3059319,400828352,0,0,2016,18,8,NA,18,8,0.444444444444444,NA
"195","Andrew Wiggins",3059319,400828366,0,0,2016,17,6,NA,17,6,0.352941176470588,NA
"196","Andrew Wiggins",3059319,400828373,0,0,2016,19,8,NA,19,8,0.421052631578947,NA
"197","Andrew Wiggins",3059319,400828387,0,0,2016,15,5,NA,15,5,0.333333333333333,NA
"198","Andrew Wiggins",3059319,400828399,0,0,2016,9,4,NA,9,4,0.444444444444444,NA
"199","Andrew Wiggins",3059319,400828417,0,0,2016,14,4,NA,14,4,0.285714285714286,NA
"200","Andrew Wiggins",3059319,400828430,2,0,2016,19,12,0,17,12,0.705882352941177,-0.705882352941177
"201","Andrew Wiggins",3059319,400828444,1,1,2016,19,8,1,18,7,0.388888888888889,0.611111111111111
"202","Andrew Wiggins",3059319,400828461,0,0,2016,19,8,NA,19,8,0.421052631578947,NA
"203","Andrew Wiggins",3059319,400828468,1,0,2016,16,9,0,15,9,0.6,-0.6
"204","Andrew Wiggins",3059319,400828481,2,1,2016,21,9,0.5,19,8,0.421052631578947,0.0789473684210527
"205","Andrew Wiggins",3059319,400828497,1,0,2016,11,6,0,10,6,0.6,-0.6
"206","Andrew Wiggins",3059319,400828513,1,0,2016,17,7,0,16,7,0.4375,-0.4375
"207","Andrew Wiggins",3059319,400828524,1,0,2016,17,9,0,16,9,0.5625,-0.5625
"208","Andrew Wiggins",3059319,400828545,0,0,2016,9,6,NA,9,6,0.666666666666667,NA
"209","Andrew Wiggins",3059319,400828554,1,0,2016,14,7,0,13,7,0.538461538461538,-0.538461538461538
"210","Andrew Wiggins",3059319,400828575,0,0,2016,14,8,NA,14,8,0.571428571428571,NA
